"","VIN..1.10.","County","City","State","Postal.Code","Model.Year","Make","Model","Electric.Vehicle.Type","Clean.Alternative.Fuel.Vehicle..CAFV..Eligibility","Electric.Range","Base.MSRP","Legislative.District","DOL.Vehicle.ID","Vehicle.Location","Electric.Utility","X2020.Census.Tract"
"879","KNDJP3AE5H","Thurston","Olympia","WA",98502,2017,"KIA","SOUL EV","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",93,32250,22,347980013,"POINT (-122.92333 47.03779)","PUGET SOUND ENERGY INC",53067011100
"880","5YJSA1H16E","Kitsap","Bremerton","WA",98312,2014,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,35,211038320,"POINT (-122.6961203 47.5759584)","PUGET SOUND ENERGY INC",53035080900
"881","JF2GTDNCXK","Thurston","Olympia","WA",98502,2019,"SUBARU","CROSSTREK","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",17,34995,22,211442185,"POINT (-122.92333 47.03779)","PUGET SOUND ENERGY INC",53067012002
"882","5YJSA1H14E","Pierce","Gig Harbor","WA",98332,2014,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,26,202471629,"POINT (-122.5966931 47.3616785)","BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY",53053072509
"883","WBA8E1C53J","Clark","Vancouver","WA",98661,2018,"BMW","330E","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",14,45600,49,168468058,"POINT (-122.6238365 45.6456491)","BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)",53011041113
"884","5YJSA1H1XE","King","Bellevue","WA",98006,2014,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,41,235353695,"POINT (-122.144149 47.560742)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033024901
"885","WBAJB1C53K","King","Bellevue","WA",98005,2019,"BMW","530E","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",15,55700,41,114559777,"POINT (-122.167394 47.614119)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033023603
"886","WBA8E1C30H","King","Seattle","WA",98136,2017,"BMW","330E","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",14,44100,34,101244279,"POINT (-122.3894209 47.5407358)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)",53033011601
"887","5YJSA1H16E","King","Issaquah","WA",98029,2014,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,5,232952254,"POINT (-122.0209893 47.5632565)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033032220
"888","KNDJP3AE8G","King","Seattle","WA",98199,2016,"KIA","SOUL","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",93,31950,36,125566304,"POINT (-122.394937 47.649547)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)",53033005803
"889","KNDJP3AE9G","Thurston","Olympia","WA",98502,2016,"KIA","SOUL","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",93,31950,22,183660585,"POINT (-122.92333 47.03779)","PUGET SOUND ENERGY INC",53067012002
"890","5YJSA1DG1D","Kitsap","Poulsbo","WA",98370,2013,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,23,183192460,"POINT (-122.6368884 47.7469547)","PUGET SOUND ENERGY INC",53035090201
"891","LYVBR0DL1K","King","Mercer Island","WA",98040,2019,"VOLVO","XC60","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",17,52900,41,154511689,"POINT (-122.2283088 47.5737238)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033024301
"892","WBA8E1C34H","King","Renton","WA",98059,2017,"BMW","330E","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",14,44100,11,310660395,"POINT (-122.134502 47.492627)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033025104
"893","JF2GTDNC8K","King","Seattle","WA",98107,2019,"SUBARU","CROSSTREK","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",17,34995,36,2735617,"POINT (-122.38591 47.67597)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)",53033003302
"894","WBA8E1C54H","King","Seattle","WA",98136,2017,"BMW","330E","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",14,44100,34,197621427,"POINT (-122.3894209 47.5407358)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)",53033011601
"895","JF2GTDNC5K","King","Seattle","WA",98126,2019,"SUBARU","CROSSTREK","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",17,34995,34,477744130,"POINT (-122.3752214 47.5465949)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)",53033011602
"896","5YJSA1CGXD","King","Bellevue","WA",98005,2013,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,48,159427754,"POINT (-122.167394 47.614119)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033023701
